epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.604651153087616,0.0010000000474974513,1.208990216255188,0.0,2.346144437789917
1,0.9864341020584106,0.0010000000474974513,0.17059582471847534,0.0,3.2761378288269043
2,1.0,0.0010000000474974513,0.05493605509400368,0.0,3.6994378566741943
3,0.998062014579773,0.0010000000474974513,0.055840153247117996,0.0,3.949209213256836
4,1.0,0.0010000000474974513,0.050279371440410614,0.0,4.278017997741699
5,1.0,0.0010000000474974513,0.049394555389881134,0.0,3.8313021659851074
6,1.0,0.0005000000237487257,0.04887169972062111,0.0,4.01906681060791
7,1.0,0.0005000000237487257,0.04895930737257004,0.0,4.345613479614258
8,1.0,0.0005000000237487257,0.04820266738533974,0.0,4.692757606506348
9,1.0,0.0005000000237487257,0.04798370599746704,0.0,5.1718854904174805
10,1.0,0.0005000000237487257,0.04768223315477371,0.0,5.739917278289795
