epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5232558250427246,0.0010000000474974513,1.3027129173278809,0.0,6.728597164154053
1,0.8779069781303406,0.0010000000474974513,0.489267498254776,0.0,8.945818901062012
2,0.934108555316925,0.0010000000474974513,0.26450109481811523,0.0,11.097646713256836
3,0.9418604373931885,0.0010000000474974513,0.28873810172080994,0.0,11.088918685913086
4,0.9786821603775024,0.0010000000474974513,0.1718308925628662,0.0,13.846035957336426
5,0.9903100728988647,0.0010000000474974513,0.15293262898921967,0.0,14.509241104125977
6,0.9961240291595459,0.0005000000237487257,0.11693470925092697,0.0,14.615449905395508
7,0.998062014579773,0.0005000000237487257,0.10651033371686935,0.0,14.906121253967285
8,1.0,0.0005000000237487257,0.10007073730230331,0.0,15.103571891784668
9,1.0,0.0005000000237487257,0.0982668399810791,0.0,15.305116653442383
10,0.998062014579773,0.0005000000237487257,0.10110926628112793,0.0,15.456192016601562
