epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5484496355056763,0.0010000000474974513,1.3410342931747437,0.0,4.449192047119141
1,0.7790697813034058,0.0010000000474974513,0.6879184246063232,0.0,5.279694080352783
2,0.9282945990562439,0.0010000000474974513,0.3366555869579315,0.0,8.109530448913574
3,0.9786821603775024,0.0010000000474974513,0.17648033797740936,0.0,12.655816078186035
4,0.9767441749572754,0.0010000000474974513,0.15392781794071198,0.0,13.729373931884766
5,1.0,0.0010000000474974513,0.09879320859909058,0.0,13.946773529052734
6,1.0,0.0005000000237487257,0.09058791399002075,0.0,14.121767044067383
7,1.0,0.0005000000237487257,0.08773376047611237,0.0,14.548282623291016
8,0.998062014579773,0.0005000000237487257,0.08709832280874252,0.0,14.989241600036621
9,1.0,0.0005000000237487257,0.0830443724989891,0.0,15.221796989440918
10,1.0,0.0005000000237487257,0.08192802965641022,0.0,15.439423561096191
